,MI_Score
F2442,0.002099543929463321
F3757,0.002098764786229057
F781,0.0020986076301448
F987,0.00209344369073583
F2855,0.002093124949030356
F954,0.0020909039237025917
F1110,0.0020885836227491072
F2191,0.002086289525284446
F63,0.0020856008142948745
F563,0.0020851101612959777
F3476,0.002080935497612124
F1644,0.0020780903583289545
F230,0.0020766213895357932
F639,0.0020679384136422785
F844,0.0020678101286893957
F3623,0.002066130861774762
F3837,0.002064462808684664
F2957,0.002063495692133488
F432,0.0020610298796185367
F1513,0.002060875791142891
F1170,0.002053825660610187
F3843,0.002053723859885226
F1702,0.002051072628445505
F2849,0.0020460683765987087
F421,0.0020441684866288057
F3872,0.00204407546610319
F224,0.0020408052304230484
F1098,0.002039527537086694
F3710,0.0020360461267366903
F3902,0.002035292571783698
F3840,0.0020309624559370354
F2285,0.0020305901109461955
F259,0.002028265443191235
F166,0.002027229804281383
F3711,0.0020271233626455443
F2443,0.002026857005990257
F219,0.0020261740912440596
F434,0.0020247286780764595
F1894,0.0020221638742119463
F1744,0.0020172664375167626
F2479,0.0020154833131910133
F2243,0.002014731730704322
F3549,0.002011318669418616
F2639,0.0020106731857664206
F3839,0.002010204184850206
F2949,0.0020095573173336545
F1089,0.0020058485455243247
F1822,0.0020050319960606133
F2213,0.0020047397564547653
F2058,0.0019992206255301515
F2342,0.0019991590379386803
F1163,0.0019980075405442443
F1325,0.0019979380729100438
F1807,0.0019976567747264085
F121,0.001993120136330906
F2283,0.0019928109582486586
F790,0.00198857992047885
F733,0.0019843975123199353
F3860,0.001983734432694173
F2962,0.0019829964327916505
F532,0.0019820713374938403
F2961,0.0019796995423740915
F622,0.0019652749485638
F1553,0.001963210175564556
F2853,0.0019630340246260536
F460,0.0019596090134356148
F3061,0.001955454408852919
F3756,0.001951047517078086
F1837,0.001945425659294564
F2282,0.00194043365122476
F2292,0.0019401638414586753
F2964,0.001940062927842101
F1405,0.0019383887213187956
F1571,0.0019376027090916015
F2389,0.0019352365324020182
F3796,0.0019338836441615825
F1086,0.0019338824358551276
F1874,0.0019333663427689718
F1572,0.001928761827868164
F1392,0.0019265603182211377
F1162,0.0019232022098452095
F1319,0.001922978810771414
F1315,0.0019182237971699934
F3485,0.0019179727596549956
F115,0.001913262030320162
F1175,0.0019116857736650728
F122,0.0019047703741574828
F13,0.0019037140820149512
F429,0.0018925122843955755
F2136,0.0018894199219098295
F1385,0.001889186391610287
F3717,0.001885655172316647
F1462,0.001883355526048014
F2441,0.0018755606546797532
F2852,0.0018745927796834927
F2676,0.0018732990338551359
F3871,0.00187039134735012
F1494,0.0018665347421681355
F3101,0.0018652453532148616
F3541,0.0018616143750042058
F2651,0.0018568445560016578
F1768,0.0018522590575063003
F3581,0.0018513032021417741
F1977,0.0018484945760383065
F3838,0.0018480525084804134
F3573,0.0018422238639914656
F327,0.001841781010953003
F1642,0.0018390939884539437
F1853,0.0018327382603172682
F1761,0.001831839881667241
F1499,0.0018284526616740848
F373,0.0018247954794573529
F2643,0.0018243405874385221
F1638,0.0018190696395513628
F578,0.0018185642015323689
F117,0.0018136506723600565
F3744,0.001810779444468169
F938,0.001809299758214089
F1354,0.0018071705192265197
F2254,0.0018055117235433737
F53,0.0018022629950891211
F3907,0.001801916100484524
F3492,0.0017941950794885253
F1907,0.0017851676491414947
F1691,0.0017843793389266116
F3624,0.0017783439338978635
F1302,0.0017746644498720654
F3895,0.0017725526132031932
F1037,0.0017708375849943003
F2064,0.001769691707170451
F1656,0.0017695921703589912
F475,0.0017668589463037954
F418,0.0017624373769821178
F1646,0.001760637114161856
F2034,0.0017569834893131908
F3687,0.0017551875416468299
F2073,0.0017526230996199876
